comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
54,22,corn borer,1018,0.994118,0.996071,0.995093,0.003929,170,0.687151,0.723529,0.704871,0.276471,510,0.697588,0.737255,0.716873,0.262745,0.290222,0.272541,0.278220,-0.012002
55,40,Beet spot flies,179,0.962162,0.994413,0.978022,0.005587,30,0.677419,0.700000,0.688525,0.300000,90,0.625000,0.666667,0.645161,0.333333,0.289497,0.294413,0.332861,0.043363
56,99,Rhytidodera bowrinii white,333,0.996979,0.990991,0.993976,0.009009,55,0.755102,0.672727,0.711538,0.327273,167,0.774834,0.700599,0.735849,0.299401,0.282437,0.318264,0.258127,-0.024311
57,50,legume blister beetle,845,0.984652,0.986982,0.985816,0.013018,141,0.725926,0.695035,0.710145,0.304965,423,0.711982,0.730496,0.721120,0.269504,0.275671,0.291947,0.264695,-0.010975
58,92,Scirtothrips dorsalis Hood,484,0.983640,0.993802,0.988695,0.006198,80,0.707317,0.725000,0.716049,0.275000,243,0.675781,0.711934,0.693387,0.288066,0.272645,0.268802,0.295308,0.022663
59,4,yellow rice borer,302,0.993151,0.960265,0.976431,0.039735,50,0.692308,0.720000,0.705882,0.280000,152,0.642384,0.638158,0.640264,0.361842,0.270549,0.240265,0.336167,0.065618
60,65,parathrene regalis,84,1.000000,1.000000,1.000000,0.000000,14,0.687500,0.785714,0.733333,0.214286,42,0.620000,0.738095,0.673913,0.261905,0.266667,0.214286,0.326087,0.059420
61,72,Erythroneura apicalis,42,0.954545,1.000000,0.976744,0.000000,7,0.714286,0.714286,0.714286,0.285714,22,0.600000,0.545455,0.571429,0.454545,0.262458,0.285714,0.405316,0.142857
62,61,Brevipoalpus lewisi McGregor,47,1.000000,0.936170,0.967033,0.063830,8,0.833333,0.625000,0.714286,0.375000,24,0.904762,0.791667,0.844444,0.208333,0.252747,0.311170,0.122589,-0.130159
63,5,rice gall midge,303,1.000000,0.973597,0.986622,0.026403,51,0.795455,0.686275,0.736842,0.313725,152,0.755102,0.730263,0.742475,0.269737,0.249780,0.287323,0.244147,-0.005633
64,26,peach borer,414,0.997579,0.995169,0.996372,0.004831,69,0.742857,0.753623,0.748201,0.246377,208,0.757848,0.812500,0.784223,0.187500,0.248171,0.241546,0.212150,-0.036021
65,10,rice water weevil,513,0.992263,1.000000,0.996117,0.000000,86,0.752941,0.744186,0.748538,0.255814,257,0.759843,0.750973,0.755382,0.249027,0.247578,0.255814,0.240735,-0.006844
66,84,Dacus dorsalis(Hendel),263,0.988593,0.988593,0.988593,0.011407,44,0.723404,0.772727,0.747253,0.227273,132,0.739130,0.772727,0.755556,0.227273,0.241340,0.215866,0.233038,-0.008303
67,87,Adristyrannus,186,1.000000,1.000000,1.000000,0.000000,31,0.750000,0.774194,0.761905,0.225806,94,0.690722,0.712766,0.701571,0.287234,0.238095,0.225806,0.298429,0.060334
68,34,wheat sawfly,203,0.995098,1.000000,0.997543,0.000000,34,0.884615,0.676471,0.766667,0.323529,102,0.800000,0.745098,0.771574,0.254902,0.230876,0.323529,0.225969,-0.004907
69,100,Sternochetus frigidus,274,1.000000,0.992701,0.996337,0.007299,46,0.777778,0.760870,0.769231,0.239130,138,0.677686,0.594203,0.633205,0.405797,0.227106,0.231831,0.363132,0.136026
70,59,Viteus vitifoliae,212,1.000000,0.990566,0.995261,0.009434,35,0.771429,0.771429,0.771429,0.228571,107,0.649485,0.588785,0.617647,0.411215,0.223832,0.219137,0.377614,0.153782
71,69,Cicadella viridis,767,0.990921,0.996089,0.993498,0.003911,128,0.753731,0.789062,0.770992,0.210938,384,0.806283,0.802083,0.804178,0.197917,0.222506,0.207026,0.189321,-0.033185
72,66,Ampelophaga,458,1.000000,0.997817,0.998907,0.002183,76,0.762500,0.802632,0.782051,0.197368,230,0.820276,0.773913,0.796421,0.226087,0.216856,0.195185,0.202487,-0.014369
73,79,Chrysomphalus aonidum,135,0.985401,1.000000,0.992647,0.000000,22,0.842105,0.727273,0.780488,0.272727,68,0.666667,0.676471,0.671533,0.323529,0.212159,0.272727,0.321114,0.108955
74,24,aphids,2456,0.995935,0.997557,0.996745,0.002443,409,0.762673,0.809291,0.785291,0.190709,1229,0.740487,0.791701,0.765238,0.208299,0.211455,0.188266,0.231507,0.020053
75,71,Trialeurodes vaporariorum,415,0.988095,1.000000,0.994012,0.000000,69,0.743590,0.840580,0.789116,0.159420,208,0.756637,0.822115,0.788018,0.177885,0.204896,0.159420,0.205994,0.001097
76,94,Lawana imitata Melichar,346,0.982759,0.988439,0.985591,0.011561,58,0.789474,0.775862,0.782609,0.224138,174,0.758065,0.810345,0.783333,0.189655,0.202982,0.212577,0.202257,-0.000725
77,77,Unaspis yanonensis,251,0.992000,0.988048,0.990020,0.011952,42,0.804878,0.785714,0.795181,0.214286,126,0.720000,0.714286,0.717131,0.285714,0.194839,0.202334,0.272888,0.078049
78,0,rice leaf roller,669,0.973412,0.985052,0.979198,0.014948,111,0.730769,0.855856,0.788382,0.144144,335,0.690355,0.811940,0.746228,0.188060,0.190816,0.129196,0.232970,0.042154
79,98,Mango flat beak leafhopper,55,0.981132,0.945455,0.962963,0.054545,10,0.875000,0.700000,0.777778,0.300000,28,0.750000,0.321429,0.450000,0.678571,0.185185,0.245455,0.512963,0.327778
80,96,Deporaus marginatus Pascoe,126,1.000000,1.000000,1.000000,0.000000,21,0.782609,0.857143,0.818182,0.142857,63,0.780000,0.619048,0.690265,0.380952,0.181818,0.142857,0.309735,0.127916
81,68,Xylotrechus,690,0.998553,1.000000,0.999276,0.000000,115,0.858491,0.791304,0.823529,0.208696,345,0.869942,0.872464,0.871201,0.127536,0.175746,0.208696,0.128075,-0.047672
82,83,Tetradacus c Bactrocera minax,232,0.962343,0.991379,0.976645,0.008621,39,0.815789,0.794872,0.805195,0.205128,117,0.720339,0.726496,0.723404,0.273504,0.171451,0.196508,0.253241,0.081791
83,16,wireworm,532,1.000000,1.000000,1.000000,0.000000,88,0.793814,0.875000,0.832432,0.125000,267,0.829630,0.838951,0.834264,0.161049,0.167568,0.125000,0.165736,-0.001832
