comparison_rank,label,insect_name,train_support,train_precision,train_recall,train_f1_score,train_error_rate,val_support,val_precision,val_recall,val_f1_score,val_error_rate,test_support,test_precision,test_recall,test_f1_score,test_error_rate,train_val_f1_gap,train_val_recall_gap,train_test_f1_gap,val_test_f1_difference
65,5,rice gall midge,303,0.983766,1.000000,0.991817,0.000000,51,0.787234,0.725490,0.755102,0.274510,152,0.724359,0.743421,0.733766,0.256579,0.236715,0.274510,0.258050,0.021336
66,87,Adristyrannus,186,1.000000,1.000000,1.000000,0.000000,31,0.793103,0.741935,0.766667,0.258065,94,0.673077,0.744681,0.707071,0.255319,0.233333,0.258065,0.292929,0.059596
67,69,Cicadella viridis,767,0.997399,1.000000,0.998698,0.000000,128,0.759398,0.789062,0.773946,0.210938,384,0.806122,0.822917,0.814433,0.177083,0.224752,0.210938,0.184265,-0.040487
68,24,aphids,2456,0.967310,1.000000,0.983383,0.000000,409,0.703320,0.828851,0.760943,0.171149,1229,0.701345,0.806347,0.750189,0.193653,0.222441,0.171149,0.233194,0.010754
69,0,rice leaf roller,669,0.994056,1.000000,0.997019,0.000000,111,0.745902,0.819820,0.781116,0.180180,335,0.659091,0.779104,0.714090,0.220896,0.215903,0.180180,0.282929,0.067026
70,83,Tetradacus c Bactrocera minax,232,0.846715,1.000000,0.916996,0.000000,39,0.615385,0.820513,0.703297,0.179487,117,0.676471,0.786325,0.727273,0.213675,0.213699,0.179487,0.189723,-0.023976
71,76,Icerya purchasi Maskell,433,0.986333,1.000000,0.993119,0.000000,72,0.780822,0.791667,0.786207,0.208333,217,0.786667,0.815668,0.800905,0.184332,0.206912,0.208333,0.192214,-0.014698
72,88,Phyllocnistis citrella Stainton,242,0.995885,1.000000,0.997938,0.000000,40,0.857143,0.750000,0.800000,0.250000,122,0.811966,0.778689,0.794979,0.221311,0.197938,0.250000,0.202959,0.005021
73,66,Ampelophaga,458,1.000000,1.000000,1.000000,0.000000,76,0.802632,0.802632,0.802632,0.197368,230,0.824074,0.773913,0.798206,0.226087,0.197368,0.197368,0.201794,0.004425
74,79,Chrysomphalus aonidum,135,1.000000,0.837037,0.911290,0.162963,22,0.823529,0.636364,0.717949,0.363636,68,0.860000,0.632353,0.728814,0.367647,0.193342,0.200673,0.182477,-0.010865
75,71,Trialeurodes vaporariorum,415,0.990453,1.000000,0.995204,0.000000,69,0.773333,0.840580,0.805556,0.159420,208,0.776316,0.850962,0.811927,0.149038,0.189648,0.159420,0.183277,-0.006371
76,70,Miridae,3048,0.996403,0.999672,0.998035,0.000328,508,0.785586,0.858268,0.820320,0.141732,1525,0.776764,0.837377,0.805932,0.162623,0.177715,0.141404,0.192102,0.014387
77,94,Lawana imitata Melichar,346,0.994253,1.000000,0.997118,0.000000,58,0.781250,0.862069,0.819672,0.137931,174,0.784530,0.816092,0.800000,0.183908,0.177446,0.137931,0.197118,0.019672
78,77,Unaspis yanonensis,251,0.943609,1.000000,0.970986,0.000000,42,0.790698,0.809524,0.800000,0.190476,126,0.709924,0.738095,0.723735,0.261905,0.170986,0.190476,0.247251,0.076265
79,75,Phyllocoptes oleiverus ashmead,103,1.000000,0.941748,0.970000,0.058252,17,0.923077,0.705882,0.800000,0.294118,52,0.861111,0.596154,0.704545,0.403846,0.170000,0.235865,0.265455,0.095455
80,16,wireworm,532,0.992537,1.000000,0.996255,0.000000,88,0.785714,0.875000,0.827957,0.125000,267,0.775862,0.842697,0.807899,0.157303,0.168298,0.125000,0.188355,0.020058
81,78,Ceroplastes rubens,154,0.980892,1.000000,0.990354,0.000000,26,0.840000,0.807692,0.823529,0.192308,78,0.772727,0.871795,0.819277,0.128205,0.166824,0.192308,0.171077,0.004252
82,53,odontothrips loti,106,1.000000,0.641509,0.781609,0.358491,17,0.888889,0.470588,0.615385,0.529412,54,0.760000,0.351852,0.481013,0.648148,0.166225,0.170921,0.300597,0.134372
83,89,Toxoptera citricidus,113,1.000000,0.460177,0.630303,0.539823,19,0.636364,0.368421,0.466667,0.631579,57,0.687500,0.192982,0.301370,0.807018,0.163636,0.091756,0.328933,0.165297
84,68,Xylotrechus,690,0.995671,1.000000,0.997831,0.000000,115,0.842105,0.834783,0.838428,0.165217,345,0.845272,0.855072,0.850144,0.144928,0.159403,0.165217,0.147687,-0.011716
85,95,Salurnis marginella Guerr,292,1.000000,1.000000,1.000000,0.000000,48,0.904762,0.791667,0.844444,0.208333,147,0.802632,0.829932,0.816054,0.170068,0.155556,0.208333,0.183946,0.028391
86,14,grub,516,0.982857,1.000000,0.991354,0.000000,86,0.829545,0.848837,0.839080,0.151163,258,0.823105,0.883721,0.852336,0.116279,0.152274,0.151163,0.139018,-0.013256
87,30,wheat blossom midge,291,1.000000,1.000000,1.000000,0.000000,48,0.854167,0.854167,0.854167,0.145833,146,0.876543,0.972603,0.922078,0.027397,0.145833,0.145833,0.077922,-0.067911
88,82,Aleurocanthus spiniferus,414,0.988067,1.000000,0.993998,0.000000,68,0.813333,0.897059,0.853147,0.102941,208,0.882075,0.899038,0.890476,0.100962,0.140851,0.102941,0.103521,-0.037329
89,67,Lycorma delicatula,3186,0.997182,0.999686,0.998433,0.000314,530,0.859813,0.867925,0.863850,0.132075,1594,0.864449,0.880176,0.872241,0.119824,0.134583,0.131762,0.126191,-0.008391
90,37,flea beetle,473,0.983368,1.000000,0.991614,0.000000,79,0.833333,0.886076,0.858896,0.113924,237,0.821862,0.856540,0.838843,0.143460,0.132719,0.113924,0.152771,0.020053
91,48,Locustoidea,836,0.997613,1.000000,0.998805,0.000000,139,0.881481,0.856115,0.868613,0.143885,419,0.895238,0.897375,0.896305,0.102625,0.130192,0.143885,0.102500,-0.027692
92,101,Cicadellidae,3444,0.991357,0.999129,0.995228,0.000871,573,0.863176,0.891798,0.877253,0.108202,1723,0.852696,0.890308,0.871096,0.109692,0.117975,0.107331,0.124132,0.006157
93,96,Deporaus marginatus Pascoe,126,1.000000,0.658730,0.794258,0.341270,21,0.857143,0.571429,0.685714,0.428571,63,0.809524,0.539683,0.647619,0.460317,0.108544,0.087302,0.146639,0.038095
94,25,Potosiabre vitarsis,339,0.976945,1.000000,0.988338,0.000000,56,0.892857,0.892857,0.892857,0.107143,170,0.914634,0.882353,0.898204,0.117647,0.095481,0.107143,0.090135,-0.005346
95,58,Limacodidae,840,1.000000,1.000000,1.000000,0.000000,139,0.945312,0.870504,0.906367,0.129496,421,0.924757,0.904988,0.914766,0.095012,0.093633,0.129496,0.085234,-0.008399
96,98,Mango flat beak leafhopper,55,0.973684,0.672727,0.795699,0.327273,10,0.857143,0.600000,0.705882,0.400000,28,0.818182,0.321429,0.461538,0.678571,0.089817,0.072727,0.334160,0.244344
97,32,longlegged spider mite,147,0.967213,0.401361,0.567308,0.598639,24,1.000000,0.333333,0.500000,0.666667,74,0.714286,0.270270,0.392157,0.729730,0.067308,0.068027,0.175151,0.107843
98,62,oides decempunctata,169,1.000000,1.000000,1.000000,0.000000,29,0.964286,0.931034,0.947368,0.068966,85,0.942529,0.964706,0.953488,0.035294,0.052632,0.068966,0.046512,-0.006120
99,73,Papilio xuthus,269,1.000000,1.000000,1.000000,0.000000,45,0.977273,0.955556,0.966292,0.044444,135,0.929078,0.970370,0.949275,0.029630,0.033708,0.044444,0.050725,0.017017
100,15,mole cricket,989,0.997982,1.000000,0.998990,0.000000,165,0.947674,0.987879,0.967359,0.012121,495,0.924710,0.967677,0.945706,0.032323,0.031631,0.012121,0.053284,0.021653
101,56,Pieris canidia,281,0.996454,1.000000,0.998224,0.000000,47,0.940000,1.000000,0.969072,0.000000,141,0.935252,0.921986,0.928571,0.078014,0.029152,0.000000,0.069652,0.040501
102,17,white margined moth,88,1.000000,0.125000,0.222222,0.875000,14,1.000000,0.142857,0.250000,0.857143,45,0.750000,0.200000,0.315789,0.800000,-0.027778,-0.017857,-0.093567,-0.065789
