error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
66,train,25,Potosiabre vitarsis,339,0,0.000000,0.976945,1.000000,0.988338,,0,0.000000,0.000000,810,1.000000
67,train,99,Rhytidodera bowrinii white,333,0,0.000000,0.991071,1.000000,0.995516,,0,0.000000,0.000000,810,1.000000
68,train,21,red spider,317,0,0.000000,0.883008,1.000000,0.937870,,0,0.000000,0.000000,810,1.000000
69,train,44,alfalfa weevil,314,0,0.000000,0.987421,1.000000,0.993671,,0,0.000000,0.000000,810,1.000000
70,train,5,rice gall midge,303,0,0.000000,0.983766,1.000000,0.991817,,0,0.000000,0.000000,810,1.000000
71,train,93,Dasineura sp,303,0,0.000000,0.993443,1.000000,0.996711,,0,0.000000,0.000000,810,1.000000
72,train,4,yellow rice borer,302,0,0.000000,0.996700,1.000000,0.998347,,0,0.000000,0.000000,810,1.000000
73,train,1,rice leaf caterpillar,292,0,0.000000,0.989831,1.000000,0.994889,,0,0.000000,0.000000,810,1.000000
74,train,95,Salurnis marginella Guerr,292,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
75,train,30,wheat blossom midge,291,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
76,train,56,Pieris canidia,281,0,0.000000,0.996454,1.000000,0.998224,,0,0.000000,0.000000,810,1.000000
77,train,100,Sternochetus frigidus,274,0,0.000000,0.961404,1.000000,0.980322,,0,0.000000,0.000000,810,1.000000
78,train,73,Papilio xuthus,269,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
79,train,84,Dacus dorsalis(Hendel),263,0,0.000000,0.946043,1.000000,0.972274,,0,0.000000,0.000000,810,1.000000
80,train,77,Unaspis yanonensis,251,0,0.000000,0.943609,1.000000,0.970986,,0,0.000000,0.000000,810,1.000000
81,train,13,rice shell pest,245,0,0.000000,0.995935,1.000000,0.997963,,0,0.000000,0.000000,810,1.000000
82,train,88,Phyllocnistis citrella Stainton,242,0,0.000000,0.995885,1.000000,0.997938,,0,0.000000,0.000000,810,1.000000
83,train,11,rice leafhopper,242,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,810,1.000000
84,train,83,Tetradacus c Bactrocera minax,232,0,0.000000,0.846715,1.000000,0.916996,,0,0.000000,0.000000,810,1.000000
